ID, Title, Dish-Type, Proteins, Carbs, Fats, Information-String, Sweetness, Saltiness, Sourness, Bitterness, Savoriness, Fattiness, Spiciness 
663559, Tomato and lentil soup, lunch | soup | main course | main dish | dinner, 19g, 55g, 8g, olive oil onion garlic carrots canned tomatoes bay leaf water lentils salt parsley olive oil onion garlic carrots canned tomatoes bay leaf water lentils salt parsley olive oil onion garlic carrots canned tomatoes bay leaf water lentils salt parsley Saut onion and garlic in olive oil for 5 minutes. Add the carrot  saut for another 2 minutes. Add tomatoes  bay leaf and water  stir and bring to the boil. Stir in lentils  season with salt and cook for 5 minutes. Before serving sprinkle with chopped parsley. , 64.26, 100.0, 61.04, 86.23, 32.42, 37.95, 0.0
782600, Quinoa Salad with Vegetables and Cashews, side dish | antipasti | salad | starter | snack | appetizer | antipasto | hor d'oeuvre, 9g, 29g, 39g, brussels sprouts carrots cherry tomatoes dijon mustard garlic lemon (juice) trimmed green kale olive oil parsnip pumpkin seeds cooked dried quinoa raw cashews sesame oil sesame seeds sunflower seeds brussels sprouts carrots cherry tomatoes dijon mustard garlic lemon (juice) trimmed green kale olive oil parsnip pumpkin seeds cooked dried quinoa raw cashews sesame oil sesame seeds sunflower seeds brussels sprouts carrots cherry tomatoes dijon mustard garlic lemon (juice) trimmed green kale olive oil parsnip pumpkin seeds cooked dried quinoa raw cashews sesame oil sesame seeds sunflower seeds Line a baking sheet with parchment paper and preheat an oven to 35 Toss the parsnip  carrots and Brussels sprouts with 1 tablespoon of the olive oil and spread evenly on the pan. Roast for 30 minutes or until tender  stirring the vegetables half way through the cooking time.Meanwhile  toast the cashews  sunflower seeds  pumpkin seeds and sesame seeds in a dry unoiled skillet over medium-low heat for 10 to 15 minutes  tossing frequently  until the cashews and sesame seeds are lighly browned.Toss the kale with the remaining 3 tablespoons of olive oil in a large salad bowl. Fluff the quinoa and add to the bowl along with the roasted vegetables and cherry tomatoes. Whisk together the dressing ingredients. Pour the dressing over the salad and toss. Serve at room temperature or chilled. Sprinkle each serving with a scattering of toasted cashews and seeds. , 34.14, 52.66, 55.66, 52.71, 28.85, 100.0, 30.0
658607, Roasted Mediterranean Vegetable Soup, antipasti | soup | starter | snack | appetizer | antipasto | hor d'oeuvre, 3g, 20g, 10g, oil tomatoes yellow bell peppers. zucchini garlic cloves onion thyme vegetable stock non-dairy creamer like mimiccreme salt and pepper shredded basil leaves oil tomatoes yellow bell peppers. zucchini garlic cloves onion thyme vegetable stock non-dairy creamer like mimiccreme salt and pepper shredded basil leaves oil tomatoes yellow bell peppers. zucchini garlic cloves onion thyme vegetable stock non-dairy creamer like mimiccreme salt and pepper shredded basil leaves Preheat oven to 375 F. Brush a large shallow baking dish with olive oil. Laying them cut-sized down  arrange the tomatoes  bell peppers  zucchini and eggplant in one layer (use two dishes if necessary). Tuck the garlic cloves and onion pieces into the gaps and drizzle the vegetables with the remaining olive oil. Season lightly with salt and pepper and sprinkle with thyme. Place in preheated oven and bake uncovered  for 30-35 minutes  or until soft and browned around the edges. Let cool  then scrape out the eggplant flesh and remove the skin from the bell peppers. Working in batches  put the eggplant and bell pepper flesh  together with the tomatoes  zucchini  garlic and onion place into a bowl and chop together using a knife. Combine the stock and chopped vegetable mixture in a saucepan and simmer over medium heat for 20-30 minutes  until all the vegetables are tender and the flavors have completely blended. Stir in the cream and simmer over low heat for about 5 minutes  stirring occasionally until hot. Taste and adjust the seasoning if needed. Ladle the soup into warm bowls  garnish with basil and serve. , 55.79, 100.0, 49.85, 35.91, 46.75, 53.33, 2.79
658152, Refreshing Strawberry Limeade, beverage | drink, 0.41g, 31g, 0.17g, strawberries sugar lemon lime soda seltzer turbinado sugar lime (juice) limes ice strawberries sugar lemon lime soda seltzer turbinado sugar lime (juice) limes ice strawberries sugar lemon lime soda seltzer turbinado sugar lime (juice) limes ice Add berries and sugar to a bowl and let macerate for about 30 minutes. Add berries to a food processor (or blender) and pulse until smooth. In a large pitcher add ice (about 1/3 of the way)  then top with 2 parts seltzer to one part lemon lime soda. Stir in a few scoops of strawberry puree and add juice from 1 lime. Stir well then taste. Add more strawberry and lime juice if needed. I add thinly slice lime to the pitcher and garnish the glasses with lime wedges and a sugared rim. , 100.0, 0.9, 19.28, 2.75, 0.85, 0.71, 0.0
643505, Fresh Green Bean and Tomato Salad with Creamy Garlic Dressing, side dish | antipasti | salad | starter | snack | appetizer | antipasto | hor d'oeuvre, 6g, 21g, 12g, fresh green beans garlic yellow grape tomatoes black ground pepper olive oil pecans ) red wine vinegar salt shallot spicy brown mustard fresh green beans garlic yellow grape tomatoes black ground pepper olive oil pecans ) red wine vinegar salt shallot spicy brown mustard fresh green beans garlic yellow grape tomatoes black ground pepper olive oil pecans ) red wine vinegar salt shallot spicy brown mustard For the dressing Add all the ingredients to a blender and pulse until smooth. Taste the dressing and season  as needed.Refrigerate for at least 30 minutes.For the salad Refrigerate the clean tomatoes until ready to assemble the salad.Blanch the green beans in boiling water for about three minutes. Drain them and immediately place them in ice water. Once cold  drain and refrigerate until ready to assemble the salad.When ready to serve  add the green beans and tomatoes to a large bowl. Drizzle the chilled dressing over the salad and toss to coat. Serve on individual plates and garnish with the toasted pecans. Add more dressing as desired , 60.71, 100.0, 74.83, 55.25, 56.33, 55.79, 373.5
716415, Butternut Squash & Pear Soup: Real Convenience Food, antipasti | soup | starter | snack | appetizer | antipasto | hor d'oeuvre, 5g, 76g, 14g, butternut squash coconut oil onion pear red pepper flakes salt and pepper vegetable stock butternut squash coconut oil onion pear red pepper flakes salt and pepper vegetable stock butternut squash coconut oil onion pear red pepper flakes salt and pepper vegetable stock , 100.0, 5.73, 22.13, 15.43, 4.34, 25.84, 0.0
633221, Baby Beet Salad, side dish, 3g, 20g, 8g, trimmed yellow red baby beets black pepper fresh mint leaves olive oil red-wine vinegar salt trimmed yellow red baby beets black pepper fresh mint leaves olive oil red-wine vinegar salt trimmed yellow red baby beets black pepper fresh mint leaves olive oil red-wine vinegar salt Scrub the beets well. Wrap groups of 2 or 3 beets together in little packets of aluminum foil. Place the packets on a baking sheet and bake at 350 degrees until very tender  about 1 hour.When the beets are cool enough to handle  slip off and discard the skins (using rubber gloves). Halve beets lengthwise and place in a bowl. Whisk together the oil  vinegar  salt and pepper; toss with the beets. Sprinkle with the mint leaves. , 100.0, 1.35, 0.0, 0.0, 0.0, 71.72, 0.0
635059, Black Bean and Veggie Burgers with Corn Salsa, antipasti | starter | snack | appetizer | antipasto | hor d'oeuvre, 7g, 31g, 1.54g, canned black beans canned corn diced carrot diced celery creole seasoning flour fresh parsley garlic garlic cloves diced green onions black ground pepper black ground pepper red ground pepper diced jalapeño pepper lime (juice) oatmeal diced onion panko breadcrumbs red diced bell pepper salsa salt salt diced tomatoes canned black beans canned corn diced carrot diced celery creole seasoning flour fresh parsley garlic garlic cloves diced green onions black ground pepper black ground pepper red ground pepper diced jalapeño pepper lime (juice) oatmeal diced onion panko breadcrumbs red diced bell pepper salsa salt salt diced tomatoes canned black beans canned corn diced carrot diced celery creole seasoning flour fresh parsley garlic garlic cloves diced green onions black ground pepper black ground pepper red ground pepper diced jalapeño pepper lime (juice) oatmeal diced onion panko breadcrumbs red diced bell pepper salsa salt salt diced tomatoes Mix all the salsa ingredients together (canned corn  jalapeño pepper  tomatoes  green onions  1-2 cloves garlic  fresh parsley  juice of 1 lime  1 tsp salt  1 tsp pepper  1 tsp ground red pepper) and chill for about an hour before serving.Preheat your oven to 425 degrees F. Spray two baking sheets lightly with the nonstick spray and set aside. Add the carrot to a bowl with a little water  cover it and microwave for about two minutes. Once cooled  mash them and add them to the mashed black beans. Mix together then add the remaining vegetables and mix well. Add the oatmeal  breadcrumbs  seasoning and salsa. Mix together until combined. Add the flour and mix well. If the mixture is too moist  add more flour and adjust the seasoning  as needed.Form the mixture into patties and place them on the baking sheets. Bake for about 20 minutes  flipping them halfway through cooking. When the burgers are finished  serve with the Corn Salsa or your favorite topping. , 100.0, 48.28, 84.69, 34.41, 19.18, 25.74, 12.0475
661188, Spicy Seasoned Loaded Guacamole, antipasti | condiment | starter | snack | appetizer | dip | antipasto | hor d'oeuvre | spread, 2.38g, 11g, 15g, avocados lime juice white wine vinegar red onion serrano pepper cilantro diced roma tomato salt black pepper cumin garlic powder avocados lime juice white wine vinegar red onion serrano pepper cilantro diced roma tomato salt black pepper cumin garlic powder avocados lime juice white wine vinegar red onion serrano pepper cilantro diced roma tomato salt black pepper cumin garlic powder In a medium bowl  mash avocado and mix with lime juice and vinegar. Stir in the salt  pepper  cumin  and garlic powder. Mix in red onion  Serrano pepper  cilantro  and chopped tomato. , 23.02, 11.69, 21.2, 5.39, 4.94, 100.0, 9.9
632155, Almond Nut Butter, condiment | dip | spread, 4g, 6g, 10g, raw almonds maple syrup ground cinnamon vanilla extract dark chocolate raw almonds maple syrup ground cinnamon vanilla extract dark chocolate raw almonds maple syrup ground cinnamon vanilla extract dark chocolate Preheat oven to 300 degrees and line a baking sheet with parchment paper. In a large bowl  mix together the almonds and maple syrup . Spread out almond mixture onto baking sheet and bake for 15 minutes  stir and place back in oven for another 15 minutes. Remove from oven and allow the almonds to cool. In food processor add almonds and process until you see it form into a ball.  (NOTE:  You will have to scrape down the sides a few times  like 10.) Add you cinnamon and vanilla extract and then process until drippy.  The whole process takes about 10  15 minutes.   When your right at the end I add the chocolate and process until all melted in  about 1 more minute. Makes about 16 Tablespoons or a smidge over 1 cup Calories per Tablespoon:  92   Fat:  7.4   Sodium:  30   Potassium:  3.3   Carbs:  4.7   Fiber:  1.7   Sugar:  1.8   Protein:  3.1 , 100.0, 83.07, 7.73, 38.29, 1.77, 80.91, 0.0
